signal_id,module_code,module_kr,sensor_type,unit,missing_rate,n_unique,is_constant,mean,std,min,max,note
SIG_043,VACUUM,진공,게이트밸브개도,%,0.0006,1,1,70.0,0.0,70.0,70.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_044,GAS_MFC,가스공급,라인압력,psi,0.0006,1523,0,355.5389,6.2347,342.7545,377.2973,교육용 가상 매핑(원본은 익명화 신호)
SIG_045,ESC,정전척,척전압,V,0.0006,1376,0,10.0312,0.175,9.464,11.053,교육용 가상 매핑(원본은 익명화 신호)
SIG_046,THERMAL,온도제어,쿨런트온도,degC,0.0006,1520,0,136.7431,7.8492,108.8464,176.3136,교육용 가상 매핑(원본은 익명화 신호)
SIG_047,TRANSFER,이송,진공척흡착,kPa,0.0006,1562,0,733.6728,12.1703,699.8139,789.7523,교육용 가상 매핑(원본은 익명화 신호)
SIG_048,METRO,계측,표면조도,nm,0.0006,1341,0,1.178,0.1896,0.4967,1.5111,교육용 가상 매핑(원본은 익명화 신호)
SIG_049,CHAMBER,챔버,압력,Torr,0.0006,1486,0,139.9722,4.5243,125.7982,163.2509,교육용 가상 매핑(원본은 익명화 신호)
SIG_050,RF,RF전원,반사전력,W,0.0006,1,1,1.0,0.0,1.0,1.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_051,VACUUM,진공,게이트밸브개도,%,0.0006,1520,0,632.2542,8.644,607.3927,667.7418,교육용 가상 매핑(원본은 익명화 신호)
SIG_052,GAS_MFC,가스공급,라인압력,psi,0.0006,1562,0,157.421,60.9251,40.2614,258.5432,교육용 가상 매핑(원본은 익명화 신호)
SIG_053,ESC,정전척,척전압,V,0.0006,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_054,THERMAL,온도제어,쿨런트온도,degC,0.0026,153,0,4.593,0.0549,3.706,4.764,교육용 가상 매핑(원본은 익명화 신호)
SIG_055,TRANSFER,이송,진공척흡착,kPa,0.0026,169,0,4.8385,0.0596,3.932,5.011,교육용 가상 매핑(원본은 익명화 신호)
SIG_056,METRO,계측,표면조도,nm,0.0026,107,0,2856.1721,25.7493,2801.0,2936.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_057,CHAMBER,챔버,압력,Torr,0.0026,187,0,0.9288,0.0068,0.8755,0.9378,교육용 가상 매핑(원본은 익명화 신호)
SIG_058,RF,RF전원,반사전력,W,0.0026,159,0,0.9492,0.0042,0.9319,0.9598,교육용 가상 매핑(원본은 익명화 신호)
SIG_059,VACUUM,진공,게이트밸브개도,%,0.0026,382,0,4.5933,0.0851,4.2199,4.8475,교육용 가상 매핑(원본은 익명화 신호)
SIG_060,GAS_MFC,가스공급,라인압력,psi,0.0045,1500,0,2.9602,9.5322,-28.9882,168.1455,교육용 가상 매핑(원본은 익명화 신호)
SIG_061,ESC,정전척,척전압,V,0.0038,1498,0,355.1591,6.0279,324.7145,373.8664,교육용 가상 매핑(원본은 익명화 신호)
SIG_062,THERMAL,온도제어,쿨런트온도,degC,0.0038,1418,0,10.4231,0.2749,9.4611,11.7849,교육용 가상 매핑(원본은 익명화 신호)
SIG_063,TRANSFER,이송,진공척흡착,kPa,0.0038,1518,0,116.5023,8.629,81.49,287.1509,교육용 가상 매핑(원본은 익명화 신호)
SIG_064,METRO,계측,표면조도,nm,0.0045,1534,0,13.9899,7.1199,1.6591,188.0923,교육용 가상 매핑(원본은 익명화 신호)
SIG_065,CHAMBER,챔버,압력,Torr,0.0045,1496,0,20.5421,4.9775,6.4482,48.9882,교육용 가상 매핑(원본은 익명화 신호)
SIG_066,RF,RF전원,반사전력,W,0.0045,1550,0,27.1318,7.1217,4.308,118.0836,교육용 가상 매핑(원본은 익명화 신호)
SIG_067,VACUUM,진공,게이트밸브개도,%,0.0038,1559,0,706.6685,11.6231,632.4226,770.6084,교육용 가상 매핑(원본은 익명화 신호)
SIG_068,GAS_MFC,가스공급,라인압력,psi,0.0038,1306,0,16.7154,307.5023,0.4137,7272.8283,교육용 가상 매핑(원본은 익명화 신호)
SIG_069,ESC,정전척,척전압,V,0.0038,1479,0,147.4376,4.2401,87.0255,167.8309,교육용 가상 매핑(원본은 익명화 신호)
SIG_070,THERMAL,온도제어,쿨런트온도,degC,0.0038,1,1,1.0,0.0,1.0,1.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_071,TRANSFER,이송,진공척흡착,kPa,0.0038,1533,0,619.1017,9.5392,581.7773,722.6018,교육용 가상 매핑(원본은 익명화 신호)
SIG_072,METRO,계측,표면조도,nm,0.0038,1557,0,104.329,31.6519,21.4332,238.4775,교육용 가상 매핑(원본은 익명화 신호)
SIG_073,CHAMBER,챔버,압력,Torr,0.5067,773,0,150.3616,18.3885,-59.4777,175.4132,교육용 가상 매핑(원본은 익명화 신호)
SIG_074,RF,RF전원,반사전력,W,0.5067,770,0,468.0204,17.6299,456.0447,692.4256,교육용 가상 매핑(원본은 익명화 신호)
SIG_075,VACUUM,진공,게이트밸브개도,%,0.0038,2,0,0.0027,0.1062,0.0,4.1955,교육용 가상 매핑(원본은 익명화 신호)
SIG_076,GAS_MFC,가스공급,라인압력,psi,0.0153,675,0,-0.0069,0.0223,-0.1049,0.2315,교육용 가상 매핑(원본은 익명화 신호)
SIG_077,ESC,정전척,척전압,V,0.0153,891,0,-0.0294,0.0332,-0.1862,0.0723,교육용 가상 매핑(원본은 익명화 신호)
SIG_078,THERMAL,온도제어,쿨런트온도,degC,0.0153,842,0,-0.007,0.0314,-0.1046,0.1331,교육용 가상 매핑(원본은 익명화 신호)
SIG_079,TRANSFER,이송,진공척흡착,kPa,0.0153,995,0,-0.0136,0.0479,-0.3482,0.2492,교육용 가상 매핑(원본은 익명화 신호)
SIG_080,METRO,계측,표면조도,nm,0.0153,691,0,0.0035,0.0231,-0.0568,0.1013,교육용 가상 매핑(원본은 익명화 신호)
SIG_081,CHAMBER,챔버,압력,Torr,0.0153,922,0,-0.0185,0.0492,-0.1437,0.1186,교육용 가상 매핑(원본은 익명화 신호)
SIG_082,RF,RF전원,반사전력,W,0.0153,580,0,-0.0212,0.017,-0.0982,0.0584,교육용 가상 매핑(원본은 익명화 신호)
SIG_083,VACUUM,진공,게이트밸브개도,%,0.0153,888,0,0.0061,0.0361,-0.2129,0.1437,교육용 가상 매핑(원본은 익명화 신호)
SIG_084,GAS_MFC,가스공급,라인압력,psi,0.0006,1506,0,7.4521,0.5163,5.8257,8.9904,교육용 가상 매핑(원본은 익명화 신호)
SIG_085,ESC,정전척,척전압,V,0.0077,180,0,0.1331,0.0051,0.1174,0.1505,교육용 가상 매핑(원본은 익명화 신호)
SIG_086,THERMAL,온도제어,쿨런트온도,degC,0.8558,97,0,0.1128,0.0029,0.1053,0.1184,교육용 가상 매핑(원본은 익명화 신호)
SIG_087,TRANSFER,이송,진공척흡착,kPa,0.0,472,0,2.4019,0.0373,2.2425,2.5555,교육용 가상 매핑(원본은 익명화 신호)
SIG_088,METRO,계측,표면조도,nm,0.0,249,0,0.9824,0.0128,0.7749,0.9935,교육용 가상 매핑(원본은 익명화 신호)
SIG_089,CHAMBER,챔버,압력,Torr,0.0,973,0,1807.815,53.5373,1627.4714,2105.1823,교육용 가상 매핑(원본은 익명화 신호)
SIG_090,RF,RF전원,반사전력,W,0.0325,650,0,0.1887,0.0524,0.1113,1.4727,교육용 가상 매핑(원본은 익명화 신호)
SIG_091,VACUUM,진공,게이트밸브개도,%,0.0325,1513,0,8827.5369,396.3137,7397.31,10746.6,교육용 가상 매핑(원본은 익명화 신호)
SIG_092,GAS_MFC,가스공급,라인압력,psi,0.0038,1191,0,0.0024,0.0877,-0.357,0.3627,교육용 가상 매핑(원본은 익명화 신호)
SIG_093,ESC,정전척,척전압,V,0.0013,180,0,0.0005,0.0032,-0.0126,0.0281,교육용 가상 매핑(원본은 익명화 신호)
SIG_094,THERMAL,온도제어,쿨런트온도,degC,0.0013,174,0,-0.0005,0.003,-0.0171,0.0133,교육용 가상 매핑(원본은 익명화 신호)
SIG_095,TRANSFER,이송,진공척흡착,kPa,0.0038,22,0,-0.0,0.0002,-0.002,0.0011,교육용 가상 매핑(원본은 익명화 신호)
SIG_096,METRO,계측,표면조도,nm,0.0038,14,0,0.0001,0.0001,-0.0009,0.0009,교육용 가상 매핑(원본은 익명화 신호)
SIG_097,CHAMBER,챔버,압력,Torr,0.0038,1333,0,0.0171,0.2196,-1.4803,2.5093,교육용 가상 매핑(원본은 익명화 신호)
SIG_098,RF,RF전원,반사전력,W,0.0038,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_099,VACUUM,진공,게이트밸브개도,%,0.0038,1420,0,-0.0181,0.4271,-5.2717,2.5698,교육용 가상 매핑(원본은 익명화 신호)
SIG_100,GAS_MFC,가스공급,라인압력,psi,0.0038,272,0,0.0015,0.0627,-0.5283,0.8854,교육용 가상 매핑(원본은 익명화 신호)
SIG_101,ESC,정전척,척전압,V,0.0038,35,0,-0.0,0.0004,-0.003,0.0023,교육용 가상 매핑(원본은 익명화 신호)
SIG_102,THERMAL,온도제어,쿨런트온도,degC,0.0038,29,0,-0.0,0.0002,-0.0024,0.0017,교육용 가상 매핑(원본은 익명화 신호)
SIG_103,TRANSFER,이송,진공척흡착,kPa,0.0038,1066,0,0.0011,0.063,-0.5353,0.2979,교육용 가상 매핑(원본은 익명화 신호)
SIG_104,METRO,계측,표면조도,nm,0.0013,153,0,-0.0098,0.0031,-0.0329,0.0203,교육용 가상 매핑(원본은 익명화 신호)
SIG_105,CHAMBER,챔버,압력,Torr,0.0013,55,0,-0.0,0.0009,-0.0119,0.0071,교육용 가상 매핑(원본은 익명화 신호)
SIG_106,RF,RF전원,반사전력,W,0.0038,177,0,-0.0005,0.0032,-0.0281,0.0127,교육용 가상 매핑(원본은 익명화 신호)
SIG_107,VACUUM,진공,게이트밸브개도,%,0.0038,180,0,0.0005,0.003,-0.0133,0.0172,교육용 가상 매핑(원본은 익명화 신호)
SIG_108,GAS_MFC,가스공급,라인압력,psi,0.0038,1159,0,-0.0018,0.0875,-0.5226,0.4856,교육용 가상 매핑(원본은 익명화 신호)
SIG_109,ESC,정전척,척전압,V,0.0038,1183,0,-0.0108,0.0868,-0.3454,0.3938,교육용 가상 매핑(원본은 익명화 신호)
SIG_110,THERMAL,온도제어,쿨런트온도,degC,0.6496,96,0,0.98,0.0087,0.7848,0.9842,교육용 가상 매핑(원본은 익명화 신호)
SIG_111,TRANSFER,이송,진공척흡착,kPa,0.6496,546,0,101.3183,1.8801,88.1938,106.9227,교육용 가상 매핑(원본은 익명화 신호)
SIG_112,METRO,계측,표면조도,nm,0.6496,545,0,231.8189,2.1053,213.0083,236.9546,교육용 가상 매핑(원본은 익명화 신호)
SIG_113,CHAMBER,챔버,압력,Torr,0.4563,249,0,0.4575,0.0489,0.0,0.4885,교육용 가상 매핑(원본은 익명화 신호)
SIG_114,RF,RF전원,반사전력,W,0.0,468,0,0.9454,0.0121,0.8534,0.9763,교육용 가상 매핑(원본은 익명화 신호)
SIG_115,VACUUM,진공,게이트밸브개도,%,0.0,20,0,0.0001,0.0017,0.0,0.0414,교육용 가상 매핑(원본은 익명화 신호)
SIG_116,GAS_MFC,가스공급,라인압력,psi,0.0,1567,0,747.3838,48.9492,544.0254,924.5318,교육용 가상 매핑(원본은 익명화 신호)
SIG_117,ESC,정전척,척전압,V,0.0,136,0,0.9871,0.0095,0.89,0.9924,교육용 가상 매핑(원본은 익명화 신호)
SIG_118,THERMAL,온도제어,쿨런트온도,degC,0.0,1527,0,58.6259,6.4852,52.8068,311.7344,교육용 가상 매핑(원본은 익명화 신호)
SIG_119,TRANSFER,이송,진공척흡착,kPa,0.0153,328,0,0.5984,0.0081,0.5274,0.6245,교육용 가상 매핑(원본은 익명화 신호)
SIG_120,METRO,계측,표면조도,nm,0.0,249,0,0.9708,0.0089,0.8411,0.9827,교육용 가상 매핑(원본은 익명화 신호)
SIG_121,CHAMBER,챔버,압력,Torr,0.0,1269,0,6.3109,0.1243,5.1259,7.522,교육용 가상 매핑(원본은 익명화 신호)
SIG_122,RF,RF전원,반사전력,W,0.0057,54,0,15.7964,0.0996,15.46,16.07,교육용 가상 매핑(원본은 익명화 신호)
SIG_123,VACUUM,진공,게이트밸브개도,%,0.0057,309,0,3.8984,0.9041,1.671,6.889,교육용 가상 매핑(원본은 익명화 신호)
SIG_124,GAS_MFC,가스공급,라인압력,psi,0.0057,50,0,15.8297,0.1083,15.17,16.1,교육용 가상 매핑(원본은 익명화 신호)
SIG_125,ESC,정전척,척전압,V,0.0057,59,0,15.7947,0.1141,15.43,16.1,교육용 가상 매핑(원본은 익명화 신호)
SIG_126,THERMAL,온도제어,쿨런트온도,degC,0.0057,155,0,1.185,0.2806,0.3122,2.465,교육용 가상 매핑(원본은 익명화 신호)
SIG_127,TRANSFER,이송,진공척흡착,kPa,0.0057,273,0,2.7507,0.2535,2.34,3.991,교육용 가상 매핑(원본은 익명화 신호)
SIG_128,METRO,계측,표면조도,nm,0.0057,324,0,0.6485,0.1354,0.3161,1.175,교육용 가상 매핑(원본은 익명화 신호)
SIG_129,CHAMBER,챔버,압력,Torr,0.0057,268,0,3.1922,0.2642,0.0,3.895,교육용 가상 매핑(원본은 익명화 신호)
SIG_130,RF,RF전원,반사전력,W,0.0057,93,0,-0.5542,1.2205,-3.779,2.458,교육용 가상 매핑(원본은 익명화 신호)
SIG_131,VACUUM,진공,게이트밸브개도,%,0.0057,310,0,0.745,0.0825,0.4199,0.8884,교육용 가상 매핑(원본은 익명화 신호)
SIG_132,GAS_MFC,가스공급,라인압력,psi,0.0057,68,0,0.9978,0.0023,0.9936,1.019,교육용 가상 매핑(원본은 익명화 신호)
SIG_133,ESC,정전척,척전압,V,0.0051,306,0,2.3185,0.0532,2.1911,2.4723,교육용 가상 매핑(원본은 익명화 신호)
SIG_134,THERMAL,온도제어,쿨런트온도,degC,0.0051,336,0,1004.0431,6.5377,980.451,1020.9944,교육용 가상 매핑(원본은 익명화 신호)
SIG_135,TRANSFER,이송,진공척흡착,kPa,0.0051,335,0,39.392,2.9905,33.3658,64.1287,교육용 가상 매핑(원본은 익명화 신호)
SIG_136,METRO,계측,표면조도,nm,0.0032,134,0,117.9609,57.5446,58.0,994.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_137,CHAMBER,챔버,압력,Torr,0.0038,1089,0,138.1947,53.9098,36.1,295.8,교육용 가상 매핑(원본은 익명화 신호)
SIG_138,RF,RF전원,반사전력,W,0.0045,1059,0,122.6929,52.253,19.2,334.7,교육용 가상 매핑(원본은 익명화 신호)
SIG_139,VACUUM,진공,게이트밸브개도,%,0.0089,348,0,57.603,12.3454,19.8,141.7998,교육용 가상 매핑(원본은 익명화 신호)
SIG_140,GAS_MFC,가스공급,라인압력,psi,0.0089,518,0,416.767,263.3006,0.0,1770.6909,교육용 가상 매핑(원본은 익명화 신호)
SIG_141,ESC,정전척,척전압,V,0.0089,498,0,26.0779,506.9221,0.0319,9998.8944,교육용 가상 매핑(원본은 익명화 신호)
SIG_142,THERMAL,온도제어,쿨런트온도,degC,0.0089,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_143,TRANSFER,이송,진공척흡착,kPa,0.0089,374,0,6.6416,3.5523,1.74,103.39,교육용 가상 매핑(원본은 익명화 신호)
SIG_144,METRO,계측,표면조도,nm,0.0057,63,0,0.0042,0.0013,0.0,0.0121,교육용 가상 매핑(원본은 익명화 신호)
SIG_145,CHAMBER,챔버,압력,Torr,0.0013,961,0,0.12,0.0613,0.0324,0.6253,교육용 가상 매핑(원본은 익명화 신호)
SIG_146,RF,RF전원,반사전력,W,0.0013,656,0,0.0636,0.0265,0.0214,0.2507,교육용 가상 매핑(원본은 익명화 신호)
SIG_147,VACUUM,진공,게이트밸브개도,%,0.0013,579,0,0.055,0.0218,0.0227,0.2479,교육용 가상 매핑(원본은 익명화 신호)
SIG_148,GAS_MFC,가스공급,라인압력,psi,0.0013,294,0,0.0174,0.0271,0.0043,0.9783,교육용 가상 매핑(원본은 익명화 신호)
SIG_149,ESC,정전척,척전압,V,0.0013,1551,0,8.4713,18.7406,1.4208,742.9421,교육용 가상 매핑(원본은 익명화 신호)
SIG_150,THERMAL,온도제어,쿨런트온도,degC,0.0019,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_151,TRANSFER,이송,진공척흡착,kPa,0.0019,1443,0,6.8143,3.2418,1.337,22.318,교육용 가상 매핑(원본은 익명화 신호)
SIG_152,METRO,계측,표면조도,nm,0.0019,1498,0,14.0474,31.0025,2.02,536.564,교육용 가상 매핑(원본은 익명화 신호)
SIG_153,CHAMBER,챔버,압력,Torr,0.0019,1394,0,1.1967,23.3641,0.1544,924.378,교육용 가상 매핑(원본은 익명화 신호)
SIG_154,RF,RF전원,반사전력,W,0.0019,219,0,0.0119,0.0093,0.0036,0.2389,교육용 가상 매핑(원본은 익명화 신호)
SIG_155,VACUUM,진공,게이트밸브개도,%,0.0019,1551,0,7.698,5.2392,1.2438,191.5478,교육용 가상 매핑(원본은 익명화 신호)
SIG_156,GAS_MFC,가스공급,라인압력,psi,0.0064,65,0,0.5072,1.1224,0.14,12.71,교육용 가상 매핑(원본은 익명화 신호)
SIG_157,ESC,정전척,척전압,V,0.0,722,0,0.0581,0.0792,0.0111,2.2016,교육용 가상 매핑(원본은 익명화 신호)
SIG_158,THERMAL,온도제어,쿨런트온도,degC,0.9119,128,0,0.0471,0.0395,0.0118,0.2876,교육용 가상 매핑(원본은 익명화 신호)
SIG_159,TRANSFER,이송,진공척흡착,kPa,0.9119,138,0,1039.6507,406.8488,234.0996,2505.2998,교육용 가상 매핑(원본은 익명화 신호)
SIG_160,METRO,계측,표면조도,nm,0.0013,954,0,882.6805,983.043,0.0,7791.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_161,CHAMBER,챔버,압력,Torr,0.0013,744,0,555.3463,574.8086,0.0,4170.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_162,RF,RF전원,반사전력,W,0.0013,1411,0,4066.8505,4239.2451,0.0,37943.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_163,VACUUM,진공,게이트밸브개도,%,0.0013,1325,0,4797.1546,6553.5693,0.0,36871.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_164,GAS_MFC,가스공급,라인압력,psi,0.0013,260,0,0.1402,0.122,0.0,0.957,교육용 가상 매핑(원본은 익명화 신호)
SIG_165,ESC,정전척,척전압,V,0.0013,219,0,0.1279,0.2425,0.0,1.817,교육용 가상 매핑(원본은 익명화 신호)
SIG_166,THERMAL,온도제어,쿨런트온도,degC,0.0013,404,0,0.252,0.4073,0.0,3.286,교육용 가상 매핑(원본은 익명화 신호)
SIG_167,TRANSFER,이송,진공척흡착,kPa,0.0013,62,0,2.7889,1.1198,0.8,21.1,교육용 가상 매핑(원본은 익명화 신호)
SIG_168,METRO,계측,표면조도,nm,0.0013,31,0,1.2358,0.6328,0.3,16.3,교육용 가상 매핑(원본은 익명화 신호)
SIG_169,CHAMBER,챔버,압력,Torr,0.0013,207,0,0.1244,0.0476,0.033,0.725,교육용 가상 매핑(원본은 익명화 신호)
SIG_170,RF,RF전원,반사전력,W,0.0013,652,0,0.4005,0.1979,0.046,1.143,교육용 가상 매핑(원본은 익명화 신호)
SIG_171,VACUUM,진공,게이트밸브개도,%,0.0006,331,0,0.6843,0.1575,0.2979,1.153,교육용 가상 매핑(원본은 익명화 신호)
SIG_172,GAS_MFC,가스공급,라인압력,psi,0.0006,306,0,0.1201,0.0608,0.0089,0.494,교육용 가상 매핑(원본은 익명화 신호)
SIG_173,ESC,정전척,척전압,V,0.0006,307,0,0.3201,0.0712,0.1287,0.5484,교육용 가상 매핑(원본은 익명화 신호)
SIG_174,THERMAL,온도제어,쿨런트온도,degC,0.0006,319,0,0.5762,0.0957,0.2538,0.8643,교육용 가상 매핑(원본은 익명화 신호)
SIG_175,TRANSFER,이송,진공척흡착,kPa,0.0006,308,0,0.3201,0.0712,0.1287,0.5484,교육용 가상 매핑(원본은 익명화 신호)
SIG_176,METRO,계측,표면조도,nm,0.0006,327,0,0.778,0.1163,0.4616,1.172,교육용 가상 매핑(원본은 익명화 신호)
SIG_177,CHAMBER,챔버,압력,Torr,0.0006,319,0,0.2447,0.0749,0.0735,0.4411,교육용 가상 매핑(원본은 익명화 신호)
SIG_178,RF,RF전원,반사전력,W,0.0006,250,0,0.3948,0.2829,0.047,1.858,교육용 가상 매핑(원본은 익명화 신호)
SIG_179,VACUUM,진공,게이트밸브개도,%,0.0153,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_180,GAS_MFC,가스공급,라인압력,psi,0.0006,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_181,ESC,정전척,척전압,V,0.0006,890,0,19.0133,3.3116,9.4,48.67,교육용 가상 매핑(원본은 익명화 신호)
SIG_182,THERMAL,온도제어,쿨런트온도,degC,0.0006,687,0,0.5468,0.2244,0.093,3.573,교육용 가상 매핑(원본은 익명화 신호)
