wafer_id,timestamp,chamber,recipe,fault_type,label
WF0118,2026-03-04 02:56:00,CH-A,OX_ETCH_B,NORMAL,0
WF0119,2026-03-04 03:16:00,CH-B,OX_ETCH_A,GAS_LEAK,1
WF0120,2026-03-04 03:42:00,CH-C,OX_ETCH_B,NORMAL,0
WF0121,2026-03-04 04:00:00,CH-A,OX_ETCH_A,RF_UNSTABLE,1
WF0122,2026-03-04 04:28:00,CH-B,OX_ETCH_B,NORMAL,0
WF0123,2026-03-04 04:52:00,CH-C,OX_ETCH_A,NORMAL,0
WF0124,2026-03-04 05:09:00,CH-A,OX_ETCH_B,NORMAL,0
WF0125,2026-03-04 05:35:00,CH-B,OX_ETCH_A,NORMAL,0
WF0126,2026-03-04 05:58:00,CH-C,OX_ETCH_B,PRESSURE_DRIFT,1
WF0127,2026-03-04 06:23:00,CH-A,OX_ETCH_A,NORMAL,0
WF0128,2026-03-04 06:42:00,CH-B,OX_ETCH_B,GAS_LEAK,1
WF0129,2026-03-04 07:04:00,CH-C,OX_ETCH_A,NORMAL,0
WF0130,2026-03-04 07:30:00,CH-A,OX_ETCH_B,RF_UNSTABLE,1
WF0131,2026-03-04 07:51:00,CH-B,OX_ETCH_A,NORMAL,0
WF0132,2026-03-04 08:19:00,CH-C,OX_ETCH_B,NORMAL,0
WF0133,2026-03-04 08:36:00,CH-A,OX_ETCH_A,PRESSURE_DRIFT,1
WF0134,2026-03-04 08:59:00,CH-B,OX_ETCH_B,GAS_LEAK,1
WF0135,2026-03-04 09:28:00,CH-C,OX_ETCH_A,PRESSURE_DRIFT,1
WF0136,2026-03-04 09:45:00,CH-A,OX_ETCH_B,NORMAL,0
WF0137,2026-03-04 10:11:00,CH-B,OX_ETCH_A,NORMAL,0
WF0138,2026-03-04 10:36:00,CH-C,OX_ETCH_B,NORMAL,0
WF0139,2026-03-04 10:57:00,CH-A,OX_ETCH_A,NORMAL,0
WF0140,2026-03-04 11:19:00,CH-B,OX_ETCH_B,NORMAL,0
WF0141,2026-03-04 11:41:00,CH-C,OX_ETCH_A,NORMAL,0
WF0142,2026-03-04 12:04:00,CH-A,OX_ETCH_B,NORMAL,0
WF0143,2026-03-04 12:30:00,CH-B,OX_ETCH_A,GAS_LEAK,1
WF0144,2026-03-04 12:53:00,CH-C,OX_ETCH_B,NORMAL,0
WF0145,2026-03-04 13:17:00,CH-A,OX_ETCH_A,NORMAL,0
WF0146,2026-03-04 13:35:00,CH-B,OX_ETCH_B,NORMAL,0
WF0147,2026-03-04 14:01:00,CH-C,OX_ETCH_A,NORMAL,0
WF0148,2026-03-04 14:25:00,CH-A,OX_ETCH_B,NORMAL,0
WF0149,2026-03-04 14:44:00,CH-B,OX_ETCH_A,NORMAL,0
WF0150,2026-03-04 15:09:00,CH-C,OX_ETCH_B,NORMAL,0
WF0151,2026-03-04 15:34:00,CH-A,OX_ETCH_A,NORMAL,0
WF0152,2026-03-04 15:56:00,CH-B,OX_ETCH_B,NORMAL,0
WF0153,2026-03-04 16:22:00,CH-C,OX_ETCH_A,GAS_LEAK,1
WF0154,2026-03-04 16:45:00,CH-A,OX_ETCH_B,NORMAL,0
WF0155,2026-03-04 17:04:00,CH-B,OX_ETCH_A,NORMAL,0
WF0156,2026-03-04 17:31:00,CH-C,OX_ETCH_B,NORMAL,0
WF0157,2026-03-04 17:49:00,CH-A,OX_ETCH_A,NORMAL,0
WF0158,2026-03-04 18:16:00,CH-B,OX_ETCH_B,RF_UNSTABLE,1
WF0159,2026-03-04 18:40:00,CH-C,OX_ETCH_A,NORMAL,0
WF0160,2026-03-04 18:59:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0161,2026-03-04 19:21:00,CH-B,OX_ETCH_A,NORMAL,0
WF0162,2026-03-04 19:44:00,CH-C,OX_ETCH_B,NORMAL,0
WF0163,2026-03-04 20:11:00,CH-A,OX_ETCH_A,NORMAL,0
WF0164,2026-03-04 20:33:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0165,2026-03-04 20:53:00,CH-C,OX_ETCH_A,NORMAL,0
WF0166,2026-03-04 21:20:00,CH-A,OX_ETCH_B,NORMAL,0
WF0167,2026-03-04 21:39:00,CH-B,OX_ETCH_A,NORMAL,0
WF0168,2026-03-04 22:06:00,CH-C,OX_ETCH_B,NORMAL,0
WF0169,2026-03-04 22:29:00,CH-A,OX_ETCH_A,NORMAL,0
WF0170,2026-03-04 22:47:00,CH-B,OX_ETCH_B,NORMAL,0
WF0171,2026-03-04 23:15:00,CH-C,OX_ETCH_A,NORMAL,0
WF0172,2026-03-04 23:36:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0173,2026-03-04 23:57:00,CH-B,OX_ETCH_A,NORMAL,0
WF0174,2026-03-05 00:25:00,CH-C,OX_ETCH_B,NORMAL,0
WF0175,2026-03-05 00:43:00,CH-A,OX_ETCH_A,NORMAL,0
WF0176,2026-03-05 01:09:00,CH-B,OX_ETCH_B,NORMAL,0
WF0177,2026-03-05 01:28:00,CH-C,OX_ETCH_A,NORMAL,0
WF0178,2026-03-05 01:51:00,CH-A,OX_ETCH_B,RF_UNSTABLE,1
WF0179,2026-03-05 02:15:00,CH-B,OX_ETCH_A,NORMAL,0
WF0180,2026-03-05 02:41:00,CH-C,OX_ETCH_B,PRESSURE_DRIFT,1
WF0181,2026-03-05 03:06:00,CH-A,OX_ETCH_A,PRESSURE_DRIFT,1
WF0182,2026-03-05 03:29:00,CH-B,OX_ETCH_B,NORMAL,0
WF0183,2026-03-05 03:47:00,CH-C,OX_ETCH_A,NORMAL,0
WF0184,2026-03-05 04:09:00,CH-A,OX_ETCH_B,NORMAL,0
WF0185,2026-03-05 04:32:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0186,2026-03-05 04:58:00,CH-C,OX_ETCH_B,NORMAL,0
WF0187,2026-03-05 05:23:00,CH-A,OX_ETCH_A,NORMAL,0
WF0188,2026-03-05 05:45:00,CH-B,OX_ETCH_B,NORMAL,0
WF0189,2026-03-05 06:06:00,CH-C,OX_ETCH_A,NORMAL,0
WF0190,2026-03-05 06:30:00,CH-A,OX_ETCH_B,GAS_LEAK,1
WF0191,2026-03-05 06:51:00,CH-B,OX_ETCH_A,NORMAL,0
WF0192,2026-03-05 07:17:00,CH-C,OX_ETCH_B,NORMAL,0
WF0193,2026-03-05 07:39:00,CH-A,OX_ETCH_A,NORMAL,0
WF0194,2026-03-05 08:03:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0195,2026-03-05 08:24:00,CH-C,OX_ETCH_A,RF_UNSTABLE,1
WF0196,2026-03-05 08:46:00,CH-A,OX_ETCH_B,NORMAL,0
WF0197,2026-03-05 09:14:00,CH-B,OX_ETCH_A,NORMAL,0
WF0198,2026-03-05 09:33:00,CH-C,OX_ETCH_B,NORMAL,0
WF0199,2026-03-05 09:59:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0200,2026-03-05 10:23:00,CH-B,OX_ETCH_B,NORMAL,0
WF0201,2026-03-05 10:44:00,CH-C,OX_ETCH_A,NORMAL,0
WF0202,2026-03-05 11:08:00,CH-A,OX_ETCH_B,NORMAL,0
WF0203,2026-03-05 11:29:00,CH-B,OX_ETCH_A,NORMAL,0
WF0204,2026-03-05 11:49:00,CH-C,OX_ETCH_B,RF_UNSTABLE,1
WF0205,2026-03-05 12:16:00,CH-A,OX_ETCH_A,NORMAL,0
WF0206,2026-03-05 12:39:00,CH-B,OX_ETCH_B,NORMAL,0
WF0207,2026-03-05 13:04:00,CH-C,OX_ETCH_A,RF_UNSTABLE,1
WF0208,2026-03-05 13:24:00,CH-A,OX_ETCH_B,NORMAL,0
WF0209,2026-03-05 13:46:00,CH-B,OX_ETCH_A,PRESSURE_DRIFT,1
WF0210,2026-03-05 14:11:00,CH-C,OX_ETCH_B,NORMAL,0
WF0211,2026-03-05 14:31:00,CH-A,OX_ETCH_A,NORMAL,0
WF0212,2026-03-05 14:57:00,CH-B,OX_ETCH_B,NORMAL,0
WF0213,2026-03-05 15:16:00,CH-C,OX_ETCH_A,RF_UNSTABLE,1
WF0214,2026-03-05 15:44:00,CH-A,OX_ETCH_B,NORMAL,0
WF0215,2026-03-05 16:08:00,CH-B,OX_ETCH_A,GAS_LEAK,1
WF0216,2026-03-05 16:28:00,CH-C,OX_ETCH_B,NORMAL,0
WF0217,2026-03-05 16:51:00,CH-A,OX_ETCH_A,NORMAL,0
WF0218,2026-03-05 17:17:00,CH-B,OX_ETCH_B,NORMAL,0
WF0219,2026-03-05 17:38:00,CH-C,OX_ETCH_A,NORMAL,0
WF0220,2026-03-05 18:03:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0221,2026-03-05 18:25:00,CH-B,OX_ETCH_A,NORMAL,0
WF0222,2026-03-05 18:43:00,CH-C,OX_ETCH_B,NORMAL,0
WF0223,2026-03-05 19:10:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0224,2026-03-05 19:34:00,CH-B,OX_ETCH_B,NORMAL,0
WF0225,2026-03-05 19:57:00,CH-C,OX_ETCH_A,NORMAL,0
WF0226,2026-03-05 20:21:00,CH-A,OX_ETCH_B,NORMAL,0
WF0227,2026-03-05 20:44:00,CH-B,OX_ETCH_A,NORMAL,0
WF0228,2026-03-05 21:07:00,CH-C,OX_ETCH_B,RF_UNSTABLE,1
WF0229,2026-03-05 21:29:00,CH-A,OX_ETCH_A,NORMAL,0
WF0230,2026-03-05 21:52:00,CH-B,OX_ETCH_B,NORMAL,0
WF0231,2026-03-05 22:10:00,CH-C,OX_ETCH_A,NORMAL,0
WF0232,2026-03-05 22:39:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0233,2026-03-05 23:01:00,CH-B,OX_ETCH_A,NORMAL,0
WF0234,2026-03-05 23:25:00,CH-C,OX_ETCH_B,NORMAL,0
WF0235,2026-03-05 23:42:00,CH-A,OX_ETCH_A,NORMAL,0
WF0236,2026-03-06 00:08:00,CH-B,OX_ETCH_B,NORMAL,0
WF0237,2026-03-06 00:31:00,CH-C,OX_ETCH_A,NORMAL,0
WF0238,2026-03-06 00:52:00,CH-A,OX_ETCH_B,NORMAL,0
WF0239,2026-03-06 01:14:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0240,2026-03-06 01:43:00,CH-C,OX_ETCH_B,RF_UNSTABLE,1
WF0241,2026-03-06 02:01:00,CH-A,OX_ETCH_A,NORMAL,0
WF0242,2026-03-06 02:29:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0243,2026-03-06 02:47:00,CH-C,OX_ETCH_A,PRESSURE_DRIFT,1
WF0244,2026-03-06 03:14:00,CH-A,OX_ETCH_B,GAS_LEAK,1
WF0245,2026-03-06 03:37:00,CH-B,OX_ETCH_A,NORMAL,0
WF0246,2026-03-06 03:59:00,CH-C,OX_ETCH_B,NORMAL,0
WF0247,2026-03-06 04:20:00,CH-A,OX_ETCH_A,NORMAL,0
WF0248,2026-03-06 04:44:00,CH-B,OX_ETCH_B,NORMAL,0
WF0249,2026-03-06 05:09:00,CH-C,OX_ETCH_A,NORMAL,0
WF0250,2026-03-06 05:27:00,CH-A,OX_ETCH_B,NORMAL,0
WF0251,2026-03-06 05:50:00,CH-B,OX_ETCH_A,NORMAL,0
WF0252,2026-03-06 06:18:00,CH-C,OX_ETCH_B,NORMAL,0
WF0253,2026-03-06 06:36:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0254,2026-03-06 07:02:00,CH-B,OX_ETCH_B,NORMAL,0
WF0255,2026-03-06 07:23:00,CH-C,OX_ETCH_A,NORMAL,0
WF0256,2026-03-06 07:51:00,CH-A,OX_ETCH_B,NORMAL,0
WF0257,2026-03-06 08:10:00,CH-B,OX_ETCH_A,PRESSURE_DRIFT,1
WF0258,2026-03-06 08:31:00,CH-C,OX_ETCH_B,NORMAL,0
WF0259,2026-03-06 08:59:00,CH-A,OX_ETCH_A,NORMAL,0
WF0260,2026-03-06 09:22:00,CH-B,OX_ETCH_B,NORMAL,0
WF0261,2026-03-06 09:44:00,CH-C,OX_ETCH_A,GAS_LEAK,1
WF0262,2026-03-06 10:04:00,CH-A,OX_ETCH_B,NORMAL,0
WF0263,2026-03-06 10:29:00,CH-B,OX_ETCH_A,NORMAL,0
WF0264,2026-03-06 10:51:00,CH-C,OX_ETCH_B,NORMAL,0
WF0265,2026-03-06 11:18:00,CH-A,OX_ETCH_A,NORMAL,0
WF0266,2026-03-06 11:36:00,CH-B,OX_ETCH_B,RF_UNSTABLE,1
WF0267,2026-03-06 12:02:00,CH-C,OX_ETCH_A,NORMAL,0
WF0268,2026-03-06 12:21:00,CH-A,OX_ETCH_B,NORMAL,0
WF0269,2026-03-06 12:50:00,CH-B,OX_ETCH_A,NORMAL,0
WF0270,2026-03-06 13:07:00,CH-C,OX_ETCH_B,NORMAL,0
WF0271,2026-03-06 13:34:00,CH-A,OX_ETCH_A,NORMAL,0
WF0272,2026-03-06 13:55:00,CH-B,OX_ETCH_B,NORMAL,0
WF0273,2026-03-06 14:16:00,CH-C,OX_ETCH_A,NORMAL,0
WF0274,2026-03-06 14:42:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0275,2026-03-06 15:08:00,CH-B,OX_ETCH_A,PRESSURE_DRIFT,1
WF0276,2026-03-06 15:25:00,CH-C,OX_ETCH_B,GAS_LEAK,1
WF0277,2026-03-06 15:53:00,CH-A,OX_ETCH_A,NORMAL,0
WF0278,2026-03-06 16:12:00,CH-B,OX_ETCH_B,NORMAL,0
WF0279,2026-03-06 16:39:00,CH-C,OX_ETCH_A,NORMAL,0
WF0280,2026-03-06 16:59:00,CH-A,OX_ETCH_B,NORMAL,0
WF0281,2026-03-06 17:24:00,CH-B,OX_ETCH_A,NORMAL,0
WF0282,2026-03-06 17:44:00,CH-C,OX_ETCH_B,GAS_LEAK,1
WF0283,2026-03-06 18:11:00,CH-A,OX_ETCH_A,NORMAL,0
WF0284,2026-03-06 18:34:00,CH-B,OX_ETCH_B,NORMAL,0
WF0285,2026-03-06 18:52:00,CH-C,OX_ETCH_A,NORMAL,0
WF0286,2026-03-06 19:15:00,CH-A,OX_ETCH_B,NORMAL,0
WF0287,2026-03-06 19:42:00,CH-B,OX_ETCH_A,NORMAL,0
WF0288,2026-03-06 20:02:00,CH-C,OX_ETCH_B,PRESSURE_DRIFT,1
WF0289,2026-03-06 20:24:00,CH-A,OX_ETCH_A,NORMAL,0
WF0290,2026-03-06 20:47:00,CH-B,OX_ETCH_B,NORMAL,0
WF0291,2026-03-06 21:16:00,CH-C,OX_ETCH_A,NORMAL,0
WF0292,2026-03-06 21:37:00,CH-A,OX_ETCH_B,NORMAL,0
WF0293,2026-03-06 22:02:00,CH-B,OX_ETCH_A,NORMAL,0
WF0294,2026-03-06 22:25:00,CH-C,OX_ETCH_B,NORMAL,0
WF0295,2026-03-06 22:48:00,CH-A,OX_ETCH_A,NORMAL,0
WF0296,2026-03-06 23:09:00,CH-B,OX_ETCH_B,RF_UNSTABLE,1
WF0297,2026-03-06 23:34:00,CH-C,OX_ETCH_A,GAS_LEAK,1
WF0298,2026-03-06 23:54:00,CH-A,OX_ETCH_B,NORMAL,0
WF0299,2026-03-07 00:18:00,CH-B,OX_ETCH_A,NORMAL,0
WF0300,2026-03-07 00:41:00,CH-C,OX_ETCH_B,NORMAL,0
WF0301,2026-03-07 01:06:00,CH-A,OX_ETCH_A,NORMAL,0
WF0302,2026-03-07 01:28:00,CH-B,OX_ETCH_B,NORMAL,0
WF0303,2026-03-07 01:48:00,CH-C,OX_ETCH_A,NORMAL,0
WF0304,2026-03-07 02:13:00,CH-A,OX_ETCH_B,NORMAL,0
WF0305,2026-03-07 02:36:00,CH-B,OX_ETCH_A,GAS_LEAK,1
WF0306,2026-03-07 02:55:00,CH-C,OX_ETCH_B,NORMAL,0
WF0307,2026-03-07 03:24:00,CH-A,OX_ETCH_A,NORMAL,0
WF0308,2026-03-07 03:43:00,CH-B,OX_ETCH_B,NORMAL,0
WF0309,2026-03-07 04:09:00,CH-C,OX_ETCH_A,NORMAL,0
WF0310,2026-03-07 04:33:00,CH-A,OX_ETCH_B,PRESSURE_DRIFT,1
WF0311,2026-03-07 04:54:00,CH-B,OX_ETCH_A,NORMAL,0
WF0312,2026-03-07 05:17:00,CH-C,OX_ETCH_B,NORMAL,0
WF0313,2026-03-07 05:40:00,CH-A,OX_ETCH_A,NORMAL,0
WF0314,2026-03-07 06:01:00,CH-B,OX_ETCH_B,RF_UNSTABLE,1
WF0315,2026-03-07 06:22:00,CH-C,OX_ETCH_A,NORMAL,0
WF0316,2026-03-07 06:45:00,CH-A,OX_ETCH_B,NORMAL,0
WF0317,2026-03-07 07:14:00,CH-B,OX_ETCH_A,NORMAL,0
WF0318,2026-03-07 07:37:00,CH-C,OX_ETCH_B,NORMAL,0
WF0319,2026-03-07 07:54:00,CH-A,OX_ETCH_A,NORMAL,0
WF0320,2026-03-07 08:20:00,CH-B,OX_ETCH_B,NORMAL,0
WF0321,2026-03-07 08:44:00,CH-C,OX_ETCH_A,PRESSURE_DRIFT,1
WF0322,2026-03-07 09:09:00,CH-A,OX_ETCH_B,NORMAL,0
WF0323,2026-03-07 09:26:00,CH-B,OX_ETCH_A,NORMAL,0
WF0324,2026-03-07 09:49:00,CH-C,OX_ETCH_B,NORMAL,0
WF0325,2026-03-07 10:12:00,CH-A,OX_ETCH_A,NORMAL,0
WF0326,2026-03-07 10:40:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0327,2026-03-07 11:04:00,CH-C,OX_ETCH_A,NORMAL,0
WF0328,2026-03-07 11:24:00,CH-A,OX_ETCH_B,NORMAL,0
WF0329,2026-03-07 11:45:00,CH-B,OX_ETCH_A,NORMAL,0
WF0330,2026-03-07 12:08:00,CH-C,OX_ETCH_B,NORMAL,0
WF0331,2026-03-07 12:30:00,CH-A,OX_ETCH_A,NORMAL,0
