wafer_id,step,t_sec,rf_forward_W,rf_reflected_W,chamber_pressure_mTorr,ar_flow_sccm,cf4_flow_sccm,esc_temp_C,he_backside_Torr,endpoint_intensity
WF0003,MainEtch,22,831.62,27.36,21.078,81.42,39.36,62.15,7.991,98.72
WF0003,MainEtch,23,838.08,24.44,19.636,81.09,38.61,61.52,7.849,101.71
WF0003,MainEtch,24,841.92,23.86,20.361,83.14,40.31,62.04,7.886,100.97
WF0003,MainEtch,25,830.15,24.13,20.565,80.95,39.94,62.86,8.122,99.02
WF0003,MainEtch,26,836.1,27.16,20.263,80.04,39.3,62.24,8.003,105.63
WF0003,MainEtch,27,836.15,20.28,19.404,78.47,39.28,62.42,7.889,100.95
WF0003,MainEtch,28,827.56,23.94,19.477,79.77,39.79,61.93,7.97,103.11
WF0003,MainEtch,29,847.43,24.36,19.666,84.59,40.44,62.14,8.149,104.93
WF0003,MainEtch,30,838.33,24.1,20.33,82.18,39.96,61.71,8.03,101.56
WF0003,MainEtch,31,826.83,21.61,20.482,78.98,39.0,62.0,8.128,102.15
WF0003,MainEtch,32,835.68,18.39,19.825,80.53,40.36,62.25,8.025,98.64
WF0003,MainEtch,33,839.69,27.48,19.756,80.62,37.63,61.97,8.058,99.41
WF0003,MainEtch,34,842.05,24.46,19.735,82.33,39.43,61.3,7.88,92.48
WF0003,MainEtch,35,820.5,19.65,20.198,80.71,39.12,61.52,8.304,91.67
WF0003,MainEtch,36,827.31,25.59,19.658,82.17,37.88,62.18,8.132,85.7
WF0003,MainEtch,37,822.44,27.8,19.777,79.66,40.45,61.87,8.143,78.1
WF0003,MainEtch,38,828.77,21.33,20.396,76.94,40.77,61.97,8.05,73.02
WF0003,MainEtch,39,825.07,21.39,19.56,80.87,40.22,61.47,7.934,68.39
WF0003,MainEtch,40,838.13,19.71,19.982,82.26,39.55,62.01,7.896,55.83
WF0003,MainEtch,41,834.43,18.86,20.214,80.45,40.73,62.13,8.073,58.34
WF0003,MainEtch,42,828.65,24.35,19.932,81.08,40.07,61.85,8.102,56.96
WF0003,MainEtch,43,827.24,24.83,19.787,80.91,39.99,61.93,8.004,51.19
WF0003,MainEtch,44,838.17,19.19,19.97,82.07,39.33,62.25,8.062,48.41
WF0003,MainEtch,45,844.05,25.73,19.425,78.98,40.23,62.15,8.232,47.18
WF0003,MainEtch,46,830.08,17.91,19.836,78.95,37.87,62.66,8.101,48.07
WF0003,MainEtch,47,824.61,24.3,19.54,80.37,41.05,61.58,8.034,47.68
WF0003,MainEtch,48,833.33,22.93,19.668,79.32,40.08,63.07,8.012,42.4
WF0003,MainEtch,49,824.7,22.97,19.941,79.96,39.62,61.94,8.06,44.51
WF0003,Overetch,50,408.13,13.62,28.245,89.04,18.72,59.72,7.914,47.81
WF0003,Overetch,51,460.15,17.18,26.944,90.06,18.69,59.31,7.959,43.44
WF0003,Overetch,52,481.07,16.25,26.409,87.56,18.75,59.35,7.857,43.92
WF0003,Overetch,53,492.06,18.62,27.042,91.55,18.98,59.41,7.944,43.74
WF0003,Overetch,54,522.53,15.94,25.045,88.72,17.31,59.65,8.024,47.35
WF0003,Overetch,55,510.95,13.04,25.15,91.48,20.88,59.57,8.128,44.65
WF0003,Overetch,56,512.07,16.16,24.985,92.34,18.16,59.76,8.026,45.49
WF0003,Overetch,57,532.19,19.33,24.713,92.1,19.87,59.8,7.978,46.53
WF0003,Overetch,58,531.09,18.49,25.228,90.21,18.87,60.06,7.877,45.87
WF0003,Overetch,59,535.68,16.69,24.383,89.05,19.19,59.89,8.025,45.82
WF0004,Stabilize,0,-25.03,1.11,32.853,93.74,-1.41,60.28,8.047,105.4
WF0004,Stabilize,1,-10.64,3.25,31.902,98.06,-0.73,59.5,8.098,100.16
WF0004,Stabilize,2,-24.69,1.4,30.447,98.25,1.63,60.51,8.018,103.34
WF0004,Stabilize,3,-13.96,2.96,30.76,98.18,0.86,60.39,7.805,105.67
WF0004,Stabilize,4,-19.9,0.0,30.217,95.21,1.33,60.23,7.981,100.86
WF0004,Stabilize,5,1.76,1.67,29.481,98.35,-0.64,59.39,7.861,101.5
WF0004,Stabilize,6,-15.26,6.0,29.447,96.74,0.06,60.2,7.971,103.63
WF0004,Stabilize,7,-16.36,0.0,28.869,97.55,1.0,59.85,7.831,105.97
WF0004,Stabilize,8,-7.69,0.0,29.282,101.59,0.56,60.13,7.969,102.05
WF0004,Stabilize,9,-11.5,0.0,29.122,100.87,-1.31,59.83,7.796,101.61
WF0004,MainEtch,10,590.61,14.74,20.966,73.74,39.41,62.5,7.907,101.34
WF0004,MainEtch,11,657.58,15.11,21.751,77.06,39.56,62.53,7.853,104.65
WF0004,MainEtch,12,698.93,15.0,20.309,78.69,39.48,62.33,8.212,98.97
WF0004,MainEtch,13,723.77,15.61,19.557,77.01,40.39,62.51,8.059,103.38
WF0004,MainEtch,14,742.49,17.5,20.602,81.08,38.96,62.57,7.982,99.83
WF0004,MainEtch,15,758.43,20.8,19.615,80.91,41.92,62.23,7.767,98.6
WF0004,MainEtch,16,761.67,18.11,19.119,79.4,41.34,62.79,8.044,100.42
WF0004,MainEtch,17,777.71,16.16,19.255,78.95,39.4,62.87,7.855,102.42
WF0004,MainEtch,18,774.64,19.19,19.814,80.9,40.95,62.29,8.044,102.66
WF0004,MainEtch,19,773.18,15.67,19.445,77.71,40.08,62.44,7.978,101.14
WF0004,MainEtch,20,777.9,22.98,18.624,78.5,39.33,62.79,8.225,99.41
WF0004,MainEtch,21,777.42,15.72,19.996,76.01,40.55,62.46,8.007,99.43
WF0004,MainEtch,22,783.42,18.82,18.835,78.43,40.62,62.45,8.049,98.7
WF0004,MainEtch,23,797.05,19.18,19.234,80.52,40.14,62.42,7.825,98.76
WF0004,MainEtch,24,783.86,15.91,19.195,80.46,39.66,62.04,8.125,105.78
WF0004,MainEtch,25,794.2,20.38,19.132,78.8,41.02,62.36,8.069,101.68
WF0004,MainEtch,26,782.91,17.89,18.584,78.5,39.72,62.87,7.713,103.79
WF0004,MainEtch,27,788.0,16.01,19.245,80.25,39.87,62.7,8.174,102.48
WF0004,MainEtch,28,785.16,15.54,19.474,79.94,41.74,62.27,7.779,104.33
WF0004,MainEtch,29,792.57,14.62,19.896,80.71,38.99,62.32,7.996,101.56
WF0004,MainEtch,30,783.22,14.09,19.561,79.1,40.74,62.76,8.059,98.9
WF0004,MainEtch,31,785.5,21.46,19.229,85.01,40.45,63.16,8.081,99.58
WF0004,MainEtch,32,792.35,17.26,19.795,80.15,40.41,62.34,7.897,96.81
WF0004,MainEtch,33,781.01,17.13,19.423,80.42,38.42,62.26,8.034,101.09
WF0004,MainEtch,34,770.04,16.83,18.933,78.76,40.32,62.49,7.982,93.87
WF0004,MainEtch,35,778.53,15.37,19.085,76.18,41.08,62.87,7.982,91.72
WF0004,MainEtch,36,783.46,13.36,19.138,78.92,39.82,62.52,8.085,88.39
WF0004,MainEtch,37,780.17,19.66,19.227,78.3,40.38,62.83,8.082,82.57
WF0004,MainEtch,38,787.56,15.06,19.359,79.45,40.26,62.38,8.13,71.92
WF0004,MainEtch,39,778.78,19.09,19.366,77.59,40.88,62.44,8.118,71.15
WF0004,MainEtch,40,790.38,16.01,18.646,79.27,41.53,62.36,7.928,64.86
WF0004,MainEtch,41,795.18,16.47,18.652,78.16,39.57,62.11,7.923,58.1
WF0004,MainEtch,42,781.47,14.4,19.329,79.1,39.12,62.52,7.934,52.2
WF0004,MainEtch,43,779.93,14.03,19.0,80.89,41.08,61.97,8.08,51.39
WF0004,MainEtch,44,781.5,15.1,19.088,77.89,39.33,62.21,8.059,54.22
WF0004,MainEtch,45,784.23,17.59,19.239,77.63,41.6,62.73,8.023,50.82
WF0004,MainEtch,46,779.04,14.37,19.155,80.25,40.63,62.33,7.969,51.92
WF0004,MainEtch,47,776.21,15.54,19.357,80.21,40.31,63.35,7.971,46.07
WF0004,MainEtch,48,778.35,17.68,19.205,77.45,39.27,62.95,8.097,46.71
WF0004,MainEtch,49,782.18,14.29,18.54,81.45,41.39,62.19,7.859,45.87
WF0004,Overetch,50,355.84,11.48,27.563,84.11,19.56,59.96,7.966,46.97
WF0004,Overetch,51,396.94,11.31,26.613,85.16,20.29,60.19,8.036,44.38
WF0004,Overetch,52,431.04,8.87,26.109,86.56,20.03,59.7,7.877,47.92
WF0004,Overetch,53,448.56,14.04,25.383,89.14,21.73,60.26,8.174,46.47
WF0004,Overetch,54,454.6,12.98,25.303,89.72,19.85,60.04,8.048,45.59
WF0004,Overetch,55,479.38,14.2,25.351,90.52,20.8,60.39,8.063,45.28
WF0004,Overetch,56,478.88,14.46,24.26,86.98,20.59,60.24,7.868,51.1
WF0004,Overetch,57,464.81,9.67,23.947,88.48,19.46,60.14,8.01,45.58
WF0004,Overetch,58,486.99,11.77,25.003,89.59,19.74,60.05,7.981,42.59
WF0004,Overetch,59,472.89,14.49,24.123,90.76,20.59,59.48,7.983,48.39
WF0005,Stabilize,0,-11.93,4.54,33.299,97.45,-0.19,60.24,8.147,99.86
WF0005,Stabilize,1,-21.28,4.47,32.979,99.74,1.18,60.41,7.867,98.03
WF0005,Stabilize,2,-37.48,6.13,31.727,99.71,-0.1,60.18,7.884,96.4
WF0005,Stabilize,3,-33.0,6.18,31.253,99.17,0.47,61.06,8.095,98.27
WF0005,Stabilize,4,-22.99,2.96,31.103,103.3,1.59,60.22,8.238,100.45
WF0005,Stabilize,5,-15.77,5.09,30.197,101.05,0.73,60.22,7.915,101.99
WF0005,Stabilize,6,-14.07,0.59,29.965,101.72,1.58,60.72,7.943,102.22
WF0005,Stabilize,7,-12.95,4.25,29.697,101.12,2.16,60.73,7.972,103.35
WF0005,Stabilize,8,-30.11,6.09,30.248,101.44,0.45,60.67,8.083,98.63
WF0005,Stabilize,9,-18.62,1.88,30.113,103.29,0.65,59.93,7.957,102.93
WF0005,MainEtch,10,581.96,16.87,22.244,78.87,37.73,63.03,7.979,102.97
WF0005,MainEtch,11,642.92,20.34,21.463,81.36,38.29,63.06,8.065,95.58
WF0005,MainEtch,12,692.97,19.91,20.508,78.72,39.93,62.95,7.808,96.22
WF0005,MainEtch,13,719.28,19.03,21.186,80.71,39.81,63.05,7.891,98.77
WF0005,MainEtch,14,746.04,16.33,19.993,82.91,40.09,63.65,7.948,100.05
WF0005,MainEtch,15,749.94,21.94,19.871,79.73,38.29,63.19,7.883,100.75
WF0005,MainEtch,16,771.78,18.3,19.865,81.53,40.93,63.51,7.825,103.0
WF0005,MainEtch,17,772.65,18.66,20.284,83.13,40.06,62.71,7.817,98.74
WF0005,MainEtch,18,771.24,14.75,18.98,83.06,39.95,62.81,8.08,98.12
WF0005,MainEtch,19,771.09,18.05,20.294,82.02,40.95,62.63,8.051,98.17
WF0005,MainEtch,20,782.5,20.97,19.439,79.74,40.47,63.3,7.977,101.85
WF0005,MainEtch,21,770.26,24.52,19.617,83.67,39.74,62.99,7.935,100.55
WF0005,MainEtch,22,774.77,25.42,20.651,81.6,39.8,63.27,7.777,102.6
WF0005,MainEtch,23,776.44,19.83,20.691,82.16,40.38,63.58,8.009,102.52
WF0005,MainEtch,24,775.04,20.29,19.78,82.75,40.22,62.9,8.06,100.72
WF0005,MainEtch,25,772.07,17.76,19.507,81.29,41.23,62.81,7.922,100.86
WF0005,MainEtch,26,771.12,17.16,19.605,84.3,41.13,63.2,8.118,101.98
WF0005,MainEtch,27,769.94,23.2,19.525,81.31,40.17,63.43,7.963,107.54
WF0005,MainEtch,28,782.11,19.65,19.862,84.04,40.4,63.14,7.892,104.26
WF0005,MainEtch,29,771.7,18.03,19.994,81.0,39.41,62.74,7.965,101.23
WF0005,MainEtch,30,783.09,21.64,19.699,85.28,42.09,63.17,8.078,101.5
WF0005,MainEtch,31,781.08,24.43,19.786,83.63,41.88,62.61,7.879,98.59
WF0005,MainEtch,32,765.72,17.27,20.321,82.86,40.72,62.97,8.164,98.88
WF0005,MainEtch,33,773.8,17.06,19.964,83.11,41.46,62.6,8.078,92.63
WF0005,MainEtch,34,770.89,20.84,19.864,80.03,41.05,63.31,8.05,95.26
WF0005,MainEtch,35,765.68,18.23,19.841,85.39,38.88,63.03,7.986,92.09
WF0005,MainEtch,36,782.19,20.05,19.266,81.92,41.42,63.42,7.96,80.85
WF0005,MainEtch,37,777.71,19.89,19.283,79.97,39.85,63.37,8.036,77.27
WF0005,MainEtch,38,782.66,21.25,18.918,81.51,37.98,63.02,8.042,77.16
WF0005,MainEtch,39,776.09,21.02,20.08,81.5,41.19,63.17,8.055,68.74
WF0005,MainEtch,40,767.21,20.84,20.478,84.56,39.87,63.3,8.153,59.67
WF0005,MainEtch,41,769.23,20.54,20.074,84.86,41.84,62.76,7.908,55.89
WF0005,MainEtch,42,782.22,19.0,18.813,83.8,40.71,62.58,7.965,55.7
WF0005,MainEtch,43,784.85,19.72,19.901,85.0,41.72,63.21,7.9,49.68
WF0005,MainEtch,44,776.51,22.52,20.379,82.61,42.33,62.85,8.138,48.69
WF0005,MainEtch,45,783.48,21.06,19.99,83.64,41.14,62.69,7.898,49.62
WF0005,MainEtch,46,785.1,21.3,19.663,81.24,39.04,63.38,7.98,47.21
WF0005,MainEtch,47,783.55,20.73,19.962,82.0,40.4,63.14,8.054,47.66
WF0005,MainEtch,48,759.87,22.21,19.441,84.6,42.29,63.64,7.972,50.09
WF0005,MainEtch,49,774.04,21.87,20.306,83.07,39.57,62.19,8.099,48.46
WF0005,Overetch,50,345.85,14.75,27.66,87.93,20.24,61.4,7.846,41.86
WF0005,Overetch,51,394.93,11.72,26.702,87.55,20.44,60.87,7.985,44.56
WF0005,Overetch,52,427.43,14.35,26.13,93.88,21.76,60.4,8.039,42.38
WF0005,Overetch,53,447.06,8.78,25.705,89.85,21.86,60.91,8.358,46.13
WF0005,Overetch,54,463.01,14.04,25.447,93.87,19.14,60.99,7.997,47.11
WF0005,Overetch,55,447.93,16.34,25.736,90.37,20.34,61.25,7.99,48.75
WF0005,Overetch,56,482.77,13.13,24.714,92.61,19.63,61.16,8.032,43.58
WF0005,Overetch,57,472.35,13.8,24.754,92.85,21.69,60.65,8.004,45.51
WF0005,Overetch,58,481.58,13.39,24.511,92.7,21.82,60.88,7.947,42.42
WF0005,Overetch,59,475.71,14.71,24.915,92.33,21.84,60.23,8.025,41.68
WF0006,Stabilize,0,19.5,3.47,33.655,96.34,5.12,59.82,7.92,105.01
WF0006,Stabilize,1,14.36,3.09,32.836,100.07,3.68,59.82,8.144,103.26
WF0006,Stabilize,2,32.65,0.49,31.328,97.75,4.2,60.11,8.219,106.47
WF0006,Stabilize,3,39.33,6.22,30.708,101.59,3.31,59.53,8.016,104.54
WF0006,Stabilize,4,16.8,1.56,30.327,100.51,4.4,59.42,7.841,103.35
WF0006,Stabilize,5,22.15,0.6,30.874,97.5,3.67,59.65,7.9,102.34
